Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12
"Monkey N",Day 1,49.5%,-,62.6%,**,66.2%,***,51.2%,ns,,
"Monkey N",Day 1,49.5%,**,62.6%,-,66.2%,ns,51.2%,ns,,
"Monkey N",Day 1,163/329,***,184/294,ns,210/317,-,21/41,ns,,
"Monkey N",Day 1,163/329,ns,184/294,ns,210/317,ns,21/41,-,,
"Monkey N",Day 2,69.8%,-,69%,ns,72%,ns,45.1%,***,,
"Monkey N",Day 2,69.8%,ns,69%,-,72%,ns,45.1%,***,,
"Monkey N",Day 2,210/301,ns,211/306,ns,236/328,-,23/51,***,,
"Monkey N",Day 2,210/301,***,211/306,***,236/328,***,23/51,-,,
"Monkey N",Day 3,64%,-,70.5%,ns,75.8%,**,54.7%,ns,,
"Monkey N",Day 3,64%,ns,70.5%,-,75.8%,ns,54.7%,*,,
"Monkey N",Day 3,203/317,**,225/319,ns,229/302,-,29/53,**,,
"Monkey N",Day 3,203/317,ns,225/319,*,229/302,**,29/53,-,,
"Monkey N",Day 4,66.7%,-,76.7%,**,73.5%,ns,47.2%,**,,
"Monkey N",Day 4,66.7%,**,76.7%,-,73.5%,ns,47.2%,***,,
"Monkey N",Day 4,204/306,ns,253/330,ns,222/302,-,25/53,***,,
"Monkey N",Day 4,204/306,**,253/330,***,222/302,***,25/53,-,,
"Monkey N",Day 5,65.2%,-,62.4%,ns,65.5%,ns,26.8%,***,,
"Monkey N",Day 5,65.2%,ns,62.4%,-,65.5%,ns,26.8%,***,,
"Monkey N",Day 5,204/313,ns,204/327,ns,203/310,-,11/41,***,,
"Monkey N",Day 5,204/313,***,204/327,***,203/310,***,11/41,-,,
"Monkey N",Day 6,66.6%,-,77.8%,**,75.4%,*,50%,*,,
"Monkey N",Day 6,66.6%,**,77.8%,-,75.4%,ns,50%,***,,
"Monkey N",Day 6,207/311,*,224/288,ns,266/353,-,19/38,***,,
"Monkey N",Day 6,207/311,*,224/288,***,266/353,***,19/38,-,,
"Monkey F",Day 1,59.8%,-,69.8%,*,68.8%,ns,50%,ns,,
"Monkey F",Day 1,59.8%,*,69.8%,-,68.8%,ns,50%,*,,
"Monkey F",Day 1,101/169,ns,127/182,ns,128/186,-,14/28,*,,
"Monkey F",Day 1,101/169,ns,127/182,*,128/186,*,14/28,-,,
"Monkey F",Day 2,58.9%,-,62.2%,ns,61.7%,ns,37.5%,*,,
"Monkey F",Day 2,58.9%,ns,62.2%,-,61.7%,ns,37.5%,*,,
"Monkey F",Day 2,103/175,ns,122/196,ns,103/167,-,9/24,*,,
"Monkey F",Day 2,103/175,*,122/196,*,103/167,*,9/24,-,,
"Monkey F",Day 3,56.5%,-,71.3%,**,78.4%,***,70.8%,ns,,
"Monkey F",Day 3,56.5%,**,71.3%,-,78.4%,ns,70.8%,ns,,
"Monkey F",Day 3,100/177,***,117/164,ns,149/190,-,17/24,ns,,
"Monkey F",Day 3,100/177,ns,117/164,ns,149/190,ns,17/24,-,,
"Monkey F",Day 4,70%,-,69.2%,ns,71.9%,ns,60.7%,ns,,
"Monkey F",Day 4,70%,ns,69.2%,-,71.9%,ns,60.7%,ns,,
"Monkey F",Day 4,126/180,ns,126/182,ns,120/167,-,17/28,ns,,
"Monkey F",Day 4,126/180,ns,126/182,ns,120/167,ns,17/28,-,,
"Monkey F",Day 5,74.9%,-,79.5%,ns,77.4%,ns,58.8%,*,,
"Monkey F",Day 5,74.9%,ns,79.5%,-,77.4%,ns,58.8%,**,,
"Monkey F",Day 5,179/239,ns,178/224,ns,188/243,-,20/34,*,,
"Monkey F",Day 5,179/239,*,178/224,**,188/243,*,20/34,-,,
"Monkey F",Day 6,67.8%,-,77%,*,78.6%,**,65.7%,ns,,
"Monkey F",Day 6,67.8%,*,77%,-,78.6%,ns,65.7%,ns,,
"Monkey F",Day 6,166/245,**,171/222,ns,187/238,-,23/35,ns,,
"Monkey F",Day 6,166/245,ns,171/222,ns,187/238,ns,23/35,-,,
"Monkey F",Day 7,65.7%,-,66.4%,ns,71.9%,ns,69.8%,ns,,
"Monkey F",Day 7,65.7%,ns,66.4%,-,71.9%,ns,69.8%,ns,,
"Monkey F",Day 7,151/230,ns,162/244,ns,156/217,-,30/43,ns,,
"Monkey F",Day 7,151/230,ns,162/244,ns,156/217,ns,30/43,-,,
"Monkey F",Day 8,59.2%,-,72.7%,**,69.3%,*,77.3%,*,,
"Monkey F",Day 8,59.2%,**,72.7%,-,69.3%,ns,77.3%,ns,,
"Monkey F",Day 8,141/238,*,168/231,ns,160/231,-,34/44,ns,,
"Monkey F",Day 8,141/238,*,168/231,ns,160/231,ns,34/44,-,,
"Monkey E",Day 1,78%,-,87%,*,81.9%,ns,65.7%,ns,,
"Monkey E",Day 1,78%,*,87%,-,81.9%,ns,65.7%,**,,
"Monkey E",Day 1,177/227,ns,174/200,ns,154/188,-,23/35,*,,
"Monkey E",Day 1,177/227,ns,174/200,**,154/188,*,23/35,-,,
"Monkey E",Day 2,74.9%,-,87.7%,***,89.7%,***,69.2%,ns,,
"Monkey E",Day 2,74.9%,***,87.7%,-,89.7%,ns,69.2%,*,,
"Monkey E",Day 2,143/191,***,185/211,ns,208/232,-,18/26,**,,
"Monkey E",Day 2,143/191,ns,185/211,*,208/232,**,18/26,-,,
"Monkey E",Day 3,78.5%,-,89.6%,**,90.4%,***,63.3%,ns,,
"Monkey E",Day 3,78.5%,**,89.6%,-,90.4%,ns,63.3%,***,,
"Monkey E",Day 3,150/191,***,189/211,ns,206/228,-,19/30,***,,
"Monkey E",Day 3,150/191,ns,189/211,***,206/228,***,19/30,-,,
"Monkey E",Day 4,77.6%,-,84.9%,ns,85.9%,*,70.8%,ns,,
"Monkey E",Day 4,77.6%,ns,84.9%,-,85.9%,ns,70.8%,ns,,
"Monkey E",Day 4,159/205,*,185/218,ns,176/205,-,17/24,ns,,
"Monkey E",Day 4,159/205,ns,185/218,ns,176/205,ns,17/24,-,,
"Monkey E",Day 5,52.2%,-,90.2%,***,86.7%,***,52.9%,ns,,
"Monkey E",Day 5,52.2%,***,90.2%,-,86.7%,ns,52.9%,***,,
"Monkey E",Day 5,142/272,***,305/338,ns,241/278,-,18/34,***,,
"Monkey E",Day 5,142/272,ns,305/338,***,241/278,***,18/34,-,,
"Monkey E",Day 6,51%,-,81.4%,***,84.6%,***,73.1%,**,,
"Monkey E",Day 6,51%,***,81.4%,-,84.6%,ns,73.1%,ns,,
"Monkey E",Day 6,150/294,***,232/285,ns,253/299,-,38/52,*,,
"Monkey E",Day 6,150/294,**,232/285,ns,253/299,*,38/52,-,,
"Monkey E",Day 7,59.1%,-,78.7%,***,81.7%,***,71.8%,ns,,
"Monkey E",Day 7,59.1%,***,78.7%,-,81.7%,ns,71.8%,ns,,
"Monkey E",Day 7,104/176,***,159/202,ns,174/213,-,28/39,ns,,
"Monkey E",Day 7,104/176,ns,159/202,ns,174/213,ns,28/39,-,,
"Monkey E",Day 8,47.4%,-,81.5%,***,80.6%,***,72%,*,,
"Monkey E",Day 8,47.4%,***,81.5%,-,80.6%,ns,72%,ns,,
"Monkey E",Day 8,93/196,***,172/211,ns,162/201,-,18/25,ns,,
"Monkey E",Day 8,93/196,*,172/211,ns,162/201,ns,18/25,-,,
"Monkey E",Day 9,37.4%,-,77.6%,***,82.5%,***,58.8%,*,,
"Monkey E",Day 9,37.4%,***,77.6%,-,82.5%,ns,58.8%,*,,
"Monkey E",Day 9,52/139,***,163/210,ns,170/206,-,20/34,**,,
"Monkey E",Day 9,52/139,*,163/210,*,170/206,**,20/34,-,,
"Monkey E",Day 10,49.8%,-,80.5%,***,80.8%,***,72.2%,*,,
"Monkey E",Day 10,49.8%,***,80.5%,-,80.8%,ns,72.2%,ns,,
"Monkey E",Day 10,106/213,***,186/231,ns,168/208,-,26/36,ns,,
"Monkey E",Day 10,106/213,*,186/231,ns,168/208,ns,26/36,-,,
"Monkey E",Day 11,55.3%,-,83.5%,***,85.8%,***,71.9%,ns,,
"Monkey E",Day 11,55.3%,***,83.5%,-,85.8%,ns,71.9%,ns,,
"Monkey E",Day 11,94/170,***,177/212,ns,188/219,-,23/32,*,,
"Monkey E",Day 11,94/170,ns,177/212,ns,188/219,*,23/32,-,,
"Monkey E standard reward range",Day 1,73.8%,-,75.9%,ns,74.1%,ns,48.8%,***,,
"Monkey E standard reward range",Day 1,73.8%,ns,75.9%,-,74.1%,ns,48.8%,***,,
"Monkey E standard reward range",Day 1,1360/1844,ns,1421/1871,ns,1404/1894,-,139/285,***,,
"Monkey E standard reward range",Day 1,1360/1844,***,1421/1871,***,1404/1894,***,139/285,-,,
"Monkey F precision Task",Day 1,63.2%,-,67.2%,***,71.6%,***,63.3%,ns,,
"Monkey F precision Task",Day 1,63.2%,***,67.2%,-,71.6%,***,63.3%,ns,,
"Monkey F precision Task",Day 1,2486/3933,***,2651/3946,***,2658/3711,-,387/611,***,,
"Monkey F precision Task",Day 1,2486/3933,ns,2651/3946,ns,2658/3711,***,387/611,-,,
"Monkey F precision task, Mini-Jackpot sessions",Day 1,67.3%,-,78.9%,***,83.3%,***,80.6%,***,,
"Monkey F precision task, Mini-Jackpot sessions",Day 1,67.3%,***,78.9%,-,83.3%,***,80.6%,ns,,
"Monkey F precision task, Mini-Jackpot sessions",Day 1,1728/2569,***,2030/2573,***,2092/2510,-,237/294,ns,,
"Monkey F precision task, Mini-Jackpot sessions",Day 1,1728/2569,***,2030/2573,ns,2092/2510,ns,237/294,-,,
"Monkey E Rare-Large sessions",Day 1,54.5%,-,83.7%,***,86.4%,***,82.3%,***,72.1%,***
"Monkey E Rare-Large sessions",Day 1,54.5%,***,83.7%,-,86.4%,*,82.3%,ns,72.1%,***
"Monkey E Rare-Large sessions",Day 1,954/1752,***,1610/1924,*,1397/1616,-,214/260,ns,176/244,***
"Monkey E Rare-Large sessions",Day 1,954/1752,***,1610/1924,ns,1397/1616,ns,214/260,-,176/244,**
"Monkey E Rare-Large sessions",Day 1,954/1752,***,1610/1924,***,1397/1616,***,214/260,**,176/244,-
"Monkey E Common-Jackpot sessions",Day 1,52.1%,-,73.7%,***,80.9%,***,76.5%,***,66.7%,*
"Monkey E Common-Jackpot sessions",Day 1,52.1%,***,73.7%,-,80.9%,*,76.5%,ns,66.7%,ns
"Monkey E Common-Jackpot sessions",Day 1,175/336,***,261/354,*,250/309,-,289/378,ns,54/81,**
"Monkey E Common-Jackpot sessions",Day 1,175/336,***,261/354,ns,250/309,ns,289/378,-,54/81,ns
"Monkey E Common-Jackpot sessions",Day 1,175/336,*,261/354,ns,250/309,**,289/378,ns,54/81,-
